Sm_g00000285	5.7	More Ref
Sm_g00000288	19.59	Equal
Sm_g00000291	45.76	More Ref
Sm_g00000293	45.63	More Ref
Sm_g00000296	21.59	More Ref
Sm_g00000298	14.9	More Ref
Sm_g00000299	43.19	More Ref
Sm_g00000301	10.07	More Ref
Sm_g00000302	16.97	More Ref
Sm_g00000303	38.14	More Ref
Sm_g00000304	38.3	More Ref
Sm_g00000305	13.26	More Ref
Sm_g00000306	66.92	More Ref
Sm_g00000309	18.53	More Ref
Sm_g00000310	34.59	More Ref
Sm_g00000312	54.53	More Ref
Sm_g00000313	25.62	Equal
Sm_g00000315	29.7	More Ref
Sm_g00000316	31.73	Equal
Sm_g00000317	35.49	More Ref
Sm_g00000325	40.53	Equal
Sm_g00000326	40.78	More Alt
Sm_g00000327	34.47	More Ref
Sm_g00000328	25.47	More Ref
Sm_g00000329	32.49	More Ref
Sm_g00000330	8.75	More Ref
Sm_g00000331	30.93	More Alt
Sm_g00000334	23.28	More Ref
Sm_g00000336	49.29	More Alt
Sm_g00000338	31.75	More Ref
Sm_g00000339	No variants
Sm_g00000343	40.74	Equal
Sm_g00000344	8.44	Equal
Sm_g00000347	38.81	More Ref
Sm_g00000348	20.54	Equal
Sm_g00000350	14.5	More Alt
Sm_g00000351	29.57	More Ref
Sm_g00000352	19.09	More Ref
Sm_g00000353	33.06	More Ref
Sm_g00000355	44.81	More Alt
Sm_g00000356	29.19	More Ref
Sm_g00000357	11.12	More Ref
Sm_g00000358	26.29	More Alt
Sm_g00000359	36.79	More Alt
Sm_g00000360	36.93	More Alt
Sm_g00000361	30.08	More Alt
Sm_g00000362	27.08	More Ref
Sm_g00000363	14.04	More Ref
Sm_g00000364	32.72	Equal
Sm_g00000365	28.46	More Ref
Sm_g00000366	31.09	More Alt
Sm_g00000367	No variants
Sm_g00000368	40.35	More Alt
Sm_g00000369	29.05	More Ref
Sm_g00000370	42.47	More Alt
Sm_g00000371	68.42	More Alt
Sm_g00000372	10.94	More Ref
Sm_g00000373	67.94	More Ref
Sm_g00000377	No variants
Sm_g00000378	20.01	More Ref
Sm_g00000379	11.34	More Ref
Sm_g00000381	54.81	More Alt
Sm_g00000382	43.43	More Ref
Sm_g00000384	39.81	More Alt
Sm_g00000389	32.36	More Alt
Sm_g00000390	19.76	More Ref
Sm_g00000391	59.3	More Ref
Sm_g00000392	No variants
Sm_g00000393	26.3	More Alt
Sm_g00000394	34.2	More Ref
Sm_g00000395	35.43	More Ref
Sm_g00000396	14.29	More Ref
Sm_g00000397	56.2	More Ref
Sm_g00000398	44.22	More Alt
Sm_g00000402	No variants
Sm_g00000403	49.48	More Alt
Sm_g00000404	27.32	More Alt
Sm_g00000405	17.59	More Ref
Sm_g00000406	30.8	More Alt
Sm_g00000408	12.53	More Ref
Sm_g00000409	11.87	More Ref
Sm_g00000410	24.64	More Alt
Sm_g00000411	50.43	More Ref
Sm_g00000412	No variants
Sm_g00000414	40.36	More Ref
Sm_g00000416	No variants
Sm_g00000417	34.24	More Ref
Sm_g00000418	26.16	More Alt
Sm_g00000419	46.11	More Ref
Sm_g00000420	36.82	More Alt
Sm_g00000421	23.94	More Alt
Sm_g00000422	40.7	More Alt
Sm_g00000423	28.06	More Ref
Sm_g00000424	64.44	More Ref
Sm_g00000425	No variants
Sm_g00000426	62.36	More Ref
Sm_g00000427	43.81	More Alt
Sm_g00000432	33.29	More Ref
Sm_g00000433	29.76	More Ref
Sm_g00000435	23.78	More Ref
Sm_g00000437	55.08	More Alt
Sm_g00000438	6.9	More Ref
Sm_g00000440	17.71	More Ref
Sm_g00000441	35.44	More Ref
Sm_g00000444	12.88	More Ref
Sm_g00000445	8.49	More Alt
Sm_g00000449	No variants
Sm_g00000450	32.23	More Ref
Sm_g00000451	48.58	More Alt
Sm_g00000452	16.24	More Alt
Sm_g00000454	9.09	More Alt
Sm_g00000455	1.19	More Ref
Sm_g00000456	29.43	More Ref
Sm_g00000460	28.18	More Ref
Sm_g00000461	62.55	More Ref
Sm_g00000462	21.62	More Alt
Sm_g00000464	7.52	More Alt
Sm_g00000466	14.91	More Ref
Sm_g00000468	3.24	More Ref
Sm_g00000469	No variants
