gene	bias1	bias2	bias3	mean	SD
Sm_t00008146-RA	10.8	15.13	24.06	16.6633333333333	6.76167385588312
Sm_t00008147-RA	22.67	29.27	35.48	29.14	6.40598938494281
Sm_t00008148-RA	100	100	100	100	0
Sm_t00008150-RA	20.47	22.47	20.23	21.0566666666667	1.22985093947735
Sm_t00008152-RA	27.62	29.9	40.94	32.82	7.12393149882844
Sm_t00008153-RA	24.52	32.57	40.39	32.4933333333333	7.93527777291591
Sm_t00008154-RA	26.75	26.68	37.03	30.1533333333333	5.95547087419067
Sm_t00008160-RA	30.47	25.4	26.56	27.4766666666667	2.65639479997483
Sm_t00008162-RA	22.46	26.76	17.84	22.3533333333333	4.46095654914205
Sm_t00008163-RA	16.35	19.58	11.52	15.8166666666667	4.05638180320015
Sm_t00008164-RA	14.19	17.09	17.31	16.1966666666667	1.74130219471904
Sm_t00008168-RA	14.5	17.87	12.85	15.0733333333333	2.55863896111455
Sm_t00008170-RA	38.87	38.09	37.24	38.0666666666667	0.815250472758728
Sm_t00008171-RA	21.19	22.83	18.25	20.7566666666667	2.32054591278288
Sm_t00008172-RA	27.49	33.07	17.55	26.0366666666667	7.86140784677486
Sm_t00008173-RA	13.75	13.42	23.89	17.02	5.95188205528302
Sm_t00008175-RA	70.89	76.74	65.38	71.0033333333333	5.68084794140217
Sm_t00008176-RA	52.99	58.37	47.85	53.07	5.26045625397645
Sm_t00008177-RA	29.04	33.37	44.64	35.6833333333333	8.0531753571702
Sm_t00008178-RA	13.68	17.41	22.93	18.0066666666667	4.65377624444207
Sm_t00008179-RA	71.43	100	NA	85.715	20.2020407384997
Sm_t00008187-RA	58.27	64.04	41.6	54.6366666666667	11.6528637395849
Sm_t00008189-RA	30.8	18.82	10.88	20.1666666666667	10.0280473340194
Sm_t00008190-RA	42.65	53.56	46.75	47.6533333333333	5.5108105876843
Sm_t00008192-RA	42.94	25.1	33.21	33.75	8.9322505562708
Sm_t00008193-RA	23.4	18.26	26.13	22.5966666666667	3.996027193768
Sm_t00008194-RA	10.93	9.32	14.62	11.6233333333333	2.71717377680069
Sm_t00008196-RA	37.53	43.82	26.29	35.88	8.88071506129996
Sm_t00008197-RA	31.91	22.05	24.48	26.1466666666667	5.13694786165222
Sm_t00008200-RA	66.28	69.72	67.74	67.9133333333333	1.72653796174116
Sm_t00008201-RA	18.94	22.28	18.37	19.8633333333333	2.11221053243594
Sm_t00008202-RA	21.82	15.76	31.73	23.1033333333333	8.06197453068002
Sm_t00008203-RA	42.71	38.35	43.69	41.5833333333333	2.84269824873013
Sm_t00008204-RA	54.56	69.25	70.05	64.62	8.72139323732166
Sm_t00008206-RA	29.11	16.93	28.92	24.9866666666667	6.97792471536727
Sm_t00008207-RA	35.71	29.52	45.71	36.98	8.16937574114448
Sm_t00008208-RA	20.78	29.91	20.51	23.7333333333333	5.35085351447162
Sm_t00008209-RA	18.99	33.41	29.96	27.4533333333333	7.52971668347046
Sm_t00008210-RA	7.65	9.26	12.14	9.68333333333333	2.27473808016073
Sm_t00008213-RA	73.33	73.68	53.21	66.74	11.718630466057
Sm_t00008214-RA	10.22	8.03	9.12	9.12333333333333	1.09500380516843
Sm_t00008216-RA	12.26	19.53	18.99	16.9266666666667	4.05046087912639
Sm_t00008217-RA	42.44	37.95	35.41	38.6	3.55978931960868
Sm_t00008218-RA	12.29	17.08	29.04	19.47	8.62697513616447
Sm_t00008220-RA	9.63	8.52	4.57	7.57333333333333	2.65951750009909
Sm_t00008221-RA	22.56	22.73	32.37	25.8866666666667	5.61537472777493
Sm_t00008225-RA	17.52	21.68	18.32	19.1733333333333	2.20738155590132
Sm_t00008226-RA	24.38	29.18	30.03	27.8633333333333	3.04644601680931
Sm_t00008229-RA	24.25	17.77	34.15	25.39	8.24929087861496
Sm_t00008234-RA	49.34	30.88	35.62	38.6133333333333	9.58712330854951
Sm_t00008235-RA	42.93	46.25	45.54	44.9066666666667	1.74826580740268
Sm_t00008238-RA	23.08	30.37	28.21	27.22	3.74447593128865
Sm_t00008239-RA	25.14	14.38	19.22	19.58	5.38902588600203
Sm_t00008240-RA	6.92	9.87	5.48	7.42333333333333	2.23786356450373
Sm_t00008241-RA	12.89	12.29	9.71	11.63	1.68961534083945
Sm_t00008242-RA	39.01	59.81	68.66	55.8266666666667	15.22106544672
Sm_t00008244-RA	26.23	20.54	21.09	22.62	3.13842317095703
Sm_t00008245-RA	17.61	17.48	16.72	17.27	0.480728613668877
Sm_t00008249-RA	40.84	27.68	NA	34.26	9.30552524041497
Sm_t00008253-RA	33.01	35.87	38.07	35.65	2.53716377082758
Sm_t00008254-RA	100	100	NA	100	0
Sm_t00008255-RA	56.48	50.55	59.56	55.53	4.57950870727418
Sm_t00008256-RA	4.88	10.53	11.52	8.97666666666667	3.58218276101783
Sm_t00008257-RA	22.92	20.89	27.67	23.8266666666667	3.47974615932446
Sm_t00008258-RA	33.68	30.86	39.01	34.5166666666667	4.13891692757095
Sm_t00008261-RA	35.03	30.53	36.42	33.9933333333333	3.07880388029724
Sm_t00008262-RA	52.42	30.12	NA	41.27	15.76848122046
Sm_t00008265-RA	24.98	27.69	11.89	21.52	8.44918339249421
Sm_t00008267-RA	6.8	3.84	4.45	5.03	1.56291394516781
Sm_t00008268-RA	10.3	13.46	11.12	11.6266666666667	1.63979673537098
Sm_t00008270-RA	14.79	19.75	17.1	17.2133333333333	2.48194144438045
Sm_t00008271-RA	6.35	17.74	16.65	13.58	6.28503778827144
Sm_t00008272-RA	43.68	48.83	43.92	45.4766666666667	2.90655007411421
Sm_t00008273-RA	16.04	14.77	16.17	15.66	0.773498545570708
Sm_t00008274-RA	35.73	35.7	NA	35.715	0.0212132034355922
Sm_t00008275-RA	7.02	6.51	9.63	7.72	1.67364870866021
Sm_t00008277-RA	26.96	32.69	32.2	30.6166666666667	3.17622942076503
Sm_t00008278-RA	53.04	26.09	48.99	42.7066666666667	14.5322342856607
Sm_t00008281-RA	23.57	18.53	30.53	24.21	6.02554561844818
Sm_t00008282-RA	66.4	100	100	88.8	19.3989690447714
Sm_t00008283-RA	12.27	11.13	9.75	11.05	1.26190332434779
Sm_t00008284-RA	12.46	9.04	12.2	11.2333333333333	1.9039257688611
Sm_t00008285-RA	8.43	8.86	12.81	10.0333333333333	2.4142562691921
Sm_t00008288-RA	19.81	22.23	17.96	20	2.14133136155991
Sm_t00008289-RA	52.59	42.15	41.79	45.51	6.13410140118339
Sm_t00008290-RA	24.56	28.98	NA	26.77	3.12541197284454
Sm_t00008291-RA	9.51	15.67	18.08	14.42	4.41962668106708
Sm_t00008292-RA	33.05	42.63	24.95	33.5433333333333	8.85031826169734
Sm_t00008293-RA	18.18	2.86	25	15.3466666666667	11.3386830511014
Sm_t00008295-RA	20.03	36.23	13.24	23.1666666666667	11.8116058744496
Sm_t00008296-RA	46.81	60.93	15.28	41.0066666666667	23.3717700085666
