gene	bias1	bias2	mean	SD
Sm_t00000410-RA	30.82	30.53	30.675	0.205060966544098
Sm_t00000412-RA	100	65.66	82.83	24.282046865946
Sm_t00000416-RA	73.79	100	86.895	18.5332687348994
Sm_t00000417-RA	46.97	44.33	45.65	1.86676190233249
Sm_t00000418-RA	22.55	15.72	19.135	4.82953931550412
Sm_t00000419-RA	20.47	24.56	22.515	2.89206673505298
Sm_t00000420-RA	23.02	42.33	32.675	13.6542319447122
Sm_t00000421-RA	12.83	16.84	14.835	2.83549819255806
Sm_t00000423-RA	26.29	25.8	26.045	0.346482322781407
Sm_t00000424-RA	71.78	64.59	68.185	5.08409775673127
Sm_t00000425-RA	100	100	100	0
Sm_t00000426-RA	60.2	69.41	64.805	6.5124534547281
Sm_t00000435-RA	28.76	25.17	26.965	2.53851334445971
Sm_t00000438-RA	21.31	13.64	17.475	5.42350901170082
Sm_t00000444-RA	15.14	33.76	24.45	13.1663282656935
Sm_t00000445-RA	19.15	37.96	28.555	13.300678554119
Sm_t00000450-RA	18.28	38.55	28.415	14.3330544546513
Sm_t00000452-RA	19.35	18.55	18.95	0.565685424949239
Sm_t00000454-RA	17.24	25	21.12	5.48714862200761
Sm_t00000455-RA	2.77	2.99	2.88	0.155563491861041
Sm_t00000456-RA	26.58	32.39	29.485	4.10829039869384
Sm_t00000460-RA	14.49	19.98	17.235	3.88201622871415
Sm_t00000462-RA	13.98	21.52	17.75	5.33158513014657
Sm_t00000463-RA	39	42.71	40.855	2.62336615820209
Sm_t00000464-RA	8.59	7.45	8.02	0.806101730552664
Sm_t00000466-RA	31.01	13.36	22.185	12.4804346879426
Sm_t00000468-RA	10.71	17.08	13.895	4.50427019615831
Sm_t00000470-RA	38.42	36.65	37.535	1.25157900270019
Sm_t00000472-RA	21.47	8.17	14.82	9.40452018978108
Sm_t00000474-RA	67.78	57.76	62.77	7.08520994748921
Sm_t00000475-RA	14.65	26.42	20.535	8.32264681456567
Sm_t00000477-RA	24.6	28.73	26.665	2.92035100630044
Sm_t00000479-RA	53.03	42.49	47.76	7.45290547370621
Sm_t00000480-RA	21.78	26.97	24.375	3.66988419435818
Sm_t00000483-RA	0	41.94	20.97	29.6560584029638
Sm_t00000486-RA	10.44	20.84	15.64	7.35391052434009
Sm_t00000488-RA	5.26	10.96	8.11	4.03050865276332
Sm_t00000489-RA	13.79	13.14	13.465	0.459619407771255
Sm_t00000490-RA	59.1	73.57	66.335	10.2318351237693
Sm_t00000491-RA	20.7	40.3	30.5	13.8592929112563
Sm_t00000495-RA	36.73	31.02	33.875	4.03757972057518
Sm_t00000498-RA	63.23	69.27	66.25	4.27092495836675
Sm_t00000499-RA	27.52	22.69	25.105	3.41532575313102
Sm_t00000500-RA	22.54	21.35	21.945	0.84145706961199
Sm_t00000501-RA	31.78	24.59	28.185	5.08409775673128
Sm_t00000502-RA	17.51	23.88	20.695	4.50427019615831
Sm_t00000504-RA	45.96	64.84	55.4	13.350176028802
Sm_t00000506-RA	23.53	24.32	23.925	0.558614357137372
Sm_t00000507-RA	50.72	49.07	49.895	1.1667261889578
Sm_t00000508-RA	66.3	60.13	63.215	4.36284883992099
